#{"t_start": 1764539449.0122628, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
19.923823,1000,0.158559
11.584696,1000,0.313093
62.549934,1000,0.707742
95.729855,1000,0.85538
195.594779,1000,1.254997
140.016956,1000,1.40219
116.091789,1000,1.803987
73.645855,1000,1.960078
191.686492,1000,2.349382
166.883907,1000,2.49224
198.284297,1000,2.878103
181.505058,1000,3.023762
221.505594,1000,3.41067
187.13618,1000,3.555354
245.115547,1000,3.949814
186.500448,1000,4.104272
138.455059,1000,4.496937
94.9779,1000,4.644691
74.271842,1000,5.046719
226.856285,1000,5.201527
223.593863,1000,5.601866
179.504136,1000,5.756961
250.231597,1000,6.152364
251.804855,1000,6.299958
181.578665,1000,6.690664
172.740429,1000,6.838768
248.978781,1000,7.227961
340.37834,1000,7.372917
250.054707,1000,7.760909
292.650608,1000,7.906007
268.021958,1000,8.292867
268.557817,1000,8.437002
317.712306,1000,8.823059
336.399815,1000,8.967904
305.472172,1000,9.354077
339.876646,1000,9.49836
431.612832,1000,9.889952
224.260754,1000,10.038111
317.19874,1000,10.428399
410.504025,1000,10.5778
284.272189,1000,10.966768
291.771069,1000,11.114699
278.108068,1000,11.262707
279.015916,1000,11.650658
225.770461,1000,11.794633
238.913483,1000,12.185649
402.111412,1000,12.332672
270.305763,1000,12.719034
336.702301,1000,12.863275
286.942006,1000,13.248103
293.574073,1000,13.393342
417.207437,1000,13.779512
386.531558,1000,13.923524
485.635205,1000,14.310174
340.088125,1000,14.45589
299.712464,1000,14.84622
331.076833,1000,14.992569
359.731194,1000,15.384418
319.177528,1000,15.53218
324.092096,1000,15.945484
414.547001,1000,16.095847
371.356135,1000,16.497119
266.418052,1000,16.643515
320.925359,1000,17.034913
328.50241,1000,17.180666
377.58767,1000,17.567999
462.309844,1000,17.713573
339.318906,1000,18.105789
371.890522,1000,18.254034
321.340838,1000,18.643137
340.058418,1000,18.789136
337.263443,1000,19.177912
320.689906,1000,19.323619
362.427863,1000,19.710954
397.487183,1000,19.858875
372.402663,1000,20.250716
378.751601,1000,20.398549
356.714334,1000,20.789638
404.953382,1000,20.937273
487.133645,1000,21.326967
488.929583,1000,21.473126
386.802845,1000,21.861611
367.32394,1000,22.016198
370.047118,1000,22.411403
329.462816,1000,22.558565
366.095001,1000,22.705428
465.498123,1000,23.102239
440.570935,1000,23.248266
267.759496,1000,23.646941
458.211612,1000,23.801815
669.718195,1000,24.191507
562.698461,1000,24.33764
756.847567,1000,24.726173
748.17988,1000,24.87517
737.735583,1000,25.269398
791.837649,1000,25.415193
772.843087,1000,25.8103
741.666478,1000,25.964546
758.954225,1000,26.354055
787.407712,1000,26.499894
